date,max_temp,min_temp
2021-12-01,18.9,7.9
2021-12-02,15.9,5.0
2021-12-03,15.7,4.6
2021-12-04,11.1,4.7
2021-12-05,12.4,4.7
2021-12-06,9.8,4.8
2021-12-07,15.5,5.4
2021-12-08,9.2,5.5
2021-12-09,7.0,1.9
2021-12-10,8.4,-0.9
2021-12-11,6.5,3.6
2021-12-12,6.9,4.8
2021-12-13,5.9,2.4
2021-12-14,6.2,-1.9
2021-12-15,3.6,1.1
2021-12-16,8.2,1.9
2021-12-17,8.1,-2.8
2021-12-18,10.6,0.0
2021-12-19,10.5,6.6
2021-12-20,10.8,5.9
2021-12-21,7.6,4.8
2021-12-22,9.2,5.6
2021-12-23,8.8,4.7
2021-12-24,4.9,3.0
2021-12-25,4.5,-0.2
2021-12-26,3.0,-0.3
2021-12-27,2.6,-0.9
2021-12-28,4.3,0.2
2021-12-29,6.3,-2.2
2021-12-30,4.6,-3.3
2021-12-31,4.6,0.0
2022-12-01,5.4,-0.3
2022-12-02,7.5,-1.5
2022-12-03,10.7,0.0
2022-12-04,8.5,3.5
2022-12-05,8.8,1.0
2022-12-06,9.5,-0.6
2022-12-07,9.3,-1.9
2022-12-08,7.0,2.4
2022-12-09,5.6,2.5
2022-12-10,7.4,3.2
2022-12-11,6.9,-1.3
2022-12-12,7.4,-2.5
2022-12-13,8.9,-3.0
2022-12-14,9.3,-2.6
2022-12-15,12.3,-2.2
2022-12-16,11.4,-2.6
2022-12-17,10.7,-3.3
2022-12-18,8.8,-4.0
2022-12-19,9.8,-2.6
2022-12-20,5.3,0.0
2022-12-21,10.3,5.2
2022-12-22,8.9,5.8
2022-12-23,13.1,6.5
2022-12-24,14.5,4.2
2022-12-25,15.1,7.6
2022-12-26,12.2,10.3
2022-12-27,11.4,4.9
2022-12-28,9.2,3.1
2022-12-29,10.1,4.8
2022-12-30,12.0,8.1
2022-12-31,9.6,3.5
2023-12-01,8.3,5.4
2023-12-02,10.5,7.4
2023-12-03,12.3,10.6
2023-12-04,13.3,10.9
2023-12-05,13.5,10.3
2023-12-06,12.0,6.2
2023-12-07,6.5,3.7
2023-12-08,7.7,0.3
2023-12-09,10.1,2.1
2023-12-10,10.2,1.9
2023-12-11,11.6,5.4
2023-12-12,11.9,3.6
2023-12-13,12.4,3.6
2023-12-14,13.2,3.8
2023-12-15,13.9,4.0
2023-12-16,16.0,4.9
2023-12-17,9.8,6.0
2023-12-18,12.2,6.1
2023-12-19,11.5,8.2
2023-12-20,14.6,6.7
2023-12-21,13.7,5.1
2023-12-22,8.3,3.9
2023-12-23,9.8,1.2
2023-12-24,7.5,1.1
2023-12-25,10.7,5.4
2023-12-26,12.9,5.7
2023-12-27,10.7,6.7
2023-12-28,14.1,8.5
2023-12-29,15.2,9.8
2023-12-30,10.1,4.6
2023-12-31,11.1,4.2
2024-12-01,15.9,-1.4
2024-12-02,16.3,0.5
2024-12-03,16.4,0.8
2024-12-04,16.9,0.5
2024-12-05,17.1,3.0
2024-12-06,16.1,1.4
2024-12-07,14.8,3.5
2024-12-08,10.6,1.2
2024-12-09,14.6,-0.5
2024-12-10,13.5,0.3
2024-12-11,14.3,2.8
2024-12-12,7.1,3.0
2024-12-13,7.1,3.2
2024-12-14,8.2,3.1
2024-12-15,9.2,0.6
2024-12-16,10.1,5.5
2024-12-17,15.6,7.1
2024-12-18,17.0,7.7
2024-12-19,18.6,6.7
2024-12-20,16.1,9.2
2024-12-21,14.6,8.5
2024-12-22,13.8,8.3
2024-12-23,14.8,5.4
2024-12-24,11.9,3.0
2024-12-25,8.2,2.2
2024-12-26,9.8,7.2
2024-12-27,11.9,7.3
2024-12-28,12.9,10.4
2024-12-29,12.6,3.6
2024-12-30,8.8,0.2
2024-12-31,7.8,-1.6
2025-12-01,12.5,3.1
2025-12-02,11.9,2.5
2025-12-03,12.1,2.5
2025-12-04,13.4,4.1
2025-12-05,11.1,7.2
2025-12-06,11.2,5.7
2025-12-07,10.8,4.0
2025-12-08,12.4,4.7
2025-12-09,12.5,4.8
2025-12-10,14.4,5.7
2025-12-11,16.5,3.5
2025-12-12,19.5,2.9
2025-12-13,17.8,2.8
2025-12-14,12.9,2.3
2025-12-15,13.8,6.6
2025-12-16,14.7,10.9
2025-12-17,13.9,7.0
2025-12-18,14.0,7.6
2025-12-19,12.4,5.4
2025-12-20,9.2,2.1
2025-12-21,12.4,7.7
2025-12-22,10.3,3.4
2025-12-23,8.1,3.3
2025-12-24,12.2,6.5
2025-12-25,8.9,4.9
2025-12-26,9.4,4.3
2025-12-27,8.6,-0.2
2025-12-28,13.3,-0.4
2025-12-29,14.7,0.9
2025-12-30,15.2,0.5
2025-12-31,15.1,2.2
